trial,reservoir_size,spectral_radius,reservoir_connectivity,input_scaling,washout,alpha,ridge
1,78,0.7072531190145733,0.03475263865322074,0.3008896643339405,50,0.7090295386806201,3.704403371702265e-05
2,72,0.8712428286102215,0.012860441153360524,0.18432571587543323,100,0.5548197592930262,1.2768617541493367e-08
3,100,0.907645687747497,0.07311924762312123,0.4775678388654929,300,0.6303391154883179,1.7287087360389226e-05
4,51,0.9200541364676325,0.024369338473920116,0.4803529583381523,200,0.2399315498306034,6.742986478915493e-05
5,136,0.7296409801907561,0.04419345705736037,0.42308144243616563,200,0.6433534282302019,1.6924392672775358e-05
6,167,0.8555061465218632,0.09758041875814336,0.4406809394875182,500,0.3638604532663836,3.2700861781185527e-06
7,142,0.867432122124461,0.07341146525934311,0.141241945290096,100,0.7957615067098227,8.72742414179296e-05
8,109,0.9512802633590283,0.04421136025352496,0.5080692721315919,200,0.24638868744047634,2.6368340665125156e-07
9,118,0.9035278909029798,0.07151928989830006,0.1642622586206935,100,0.5807258893267372,9.533309674158782e-08
10,168,0.8100420781097178,0.09905710155729358,0.6759997838686835,500,0.29765365657324205,1.9821245365765115e-07
11,64,0.7664239408695902,0.012889021951363398,0.3839077432531738,200,0.15956974469039253,4.4930835733890815e-05
12,195,0.9541466116770739,0.038321009271863014,0.6898947987653921,300,0.8962148384980322,3.727412701714296e-06
13,86,0.7768152482844352,0.032196475692458516,0.6052313207468357,200,0.7723124304870321,5.172914606042251e-07
14,199,0.8158261464907152,0.029738868324155503,0.9977838458455992,500,0.5441642514006679,1.0546992328849904e-05
15,78,0.7443239826109956,0.024398380155020525,0.7124330921466944,500,0.15717493553676143,3.361066815659891e-07
16,169,0.8534431600787498,0.09739705398522563,0.8747017320110483,50,0.7122550692308667,2.872149037394811e-08
17,187,0.9177545618815668,0.07917388593917014,0.40615792572794074,200,0.4912887256021945,6.52972400783503e-07
18,117,0.9818475486723331,0.07857659791468583,0.5569135071438928,50,0.8834667128530902,1.5623530004510363e-07
19,179,0.87660136131707,0.023755534169467137,0.7862597200676361,500,0.9581497728881525,4.894815453366711e-05
20,50,0.8736939294934664,0.05397451372260532,0.20068095278880554,200,0.8908496900408658,2.1215932131496612e-05
21,128,0.769441169998037,0.03167844332025098,0.6106212493200189,50,0.1770881068610909,8.789453103119961e-07
22,67,0.9836155031664269,0.05794355525765642,0.2131844603683972,300,0.9521638117344918,4.576229916204226e-08
23,185,0.9530055819147246,0.04808241461807983,0.29061838489787384,500,0.779738676972225,5.747388152459222e-06
24,129,0.8157077669992544,0.07045182636744549,0.43607845227636444,500,0.5063375272520168,9.808948506861589e-08
25,66,0.798044813022762,0.062947784661151,0.3071032593369193,100,0.10647175508658419,6.782093709179413e-06
26,65,0.7663931173052347,0.09148780117055152,0.8736718602283718,50,0.5627405078277302,1.2998973424146914e-07
27,174,0.7621286741374271,0.02190806638525225,0.9419628165226039,500,0.6185904847488098,9.375381945840346e-08
28,171,0.9341741293523266,0.027136892292568993,0.187237732805941,300,0.41886780993059847,4.4097006049413813e-07
29,63,0.8952757187150574,0.09857486902293695,0.18857608403676301,300,0.7553922295970644,1.593565957021394e-05
30,77,0.7721103368368828,0.027118801759673038,0.5037521930498188,300,0.26513923220851,7.08781337049772e-07
31,69,0.8285079160655024,0.08752141942856476,0.5952927812048633,50,0.6869304045986698,1.4532882170554487e-06
32,53,0.9810089146125778,0.09337302847073149,0.8638261609728749,100,0.46577265215722485,8.422357502078757e-07
33,152,0.961708430998059,0.02481734092613742,0.1019398405162838,300,0.3386827523549368,1.3686185050863868e-05
34,166,0.7827222763946069,0.07269323532401463,0.7574547856739193,500,0.6956841807556707,8.844751724694702e-07
35,98,0.7860452693934236,0.0971838428472243,0.6212622617346306,500,0.15486181432886426,1.7964669800991188e-07
36,62,0.8694115023931016,0.055256534462756225,0.8674479028434569,100,0.15119162175581607,1.0747661702900965e-06
37,97,0.7198711864840998,0.016116477703818154,0.8756372817731165,300,0.20789795255241178,3.6404012642434224e-05
38,113,0.8678865266770911,0.013576749606015796,0.17378506494538792,500,0.6087042314596806,1.8428050083717178e-07
39,116,0.7592351678328255,0.07445726207104733,0.3148173573542614,300,0.2177904539147108,3.819470458521912e-06
40,167,0.7916913869188377,0.0776678043172962,0.16528880304384158,300,0.6590433299437836,1.7863830222467888e-06
41,75,0.7212456091188936,0.02918388810403364,0.3386803732753612,200,0.8927777563177955,3.289129477465938e-05
42,144,0.7826463434528305,0.04943661157069389,0.5888961660354282,200,0.6505099891533551,8.890624224436852e-05
43,185,0.7022687010741258,0.08353937216039155,0.36944087697998007,50,0.9450370035343935,3.4448035304634645e-08
44,79,0.9580166850316556,0.07681750155828988,0.23990311879749143,200,0.6443468443272016,7.420766195063626e-06
45,102,0.8993741673523858,0.08676215338527077,0.5548681522881885,200,0.914802841971391,2.423342802718552e-05
46,73,0.8839424897196663,0.08464132804349973,0.13967808561914502,200,0.7940073007176643,3.535521716644727e-06
47,117,0.7468587731194269,0.04976519606747656,0.7351007020839916,500,0.10870272964750598,1.9997487790209127e-08
48,88,0.8582211838696014,0.0851135517897415,0.6242586098408146,100,0.48680804159269464,1.4699935618781086e-08
49,143,0.9607046317353511,0.08165100743992376,0.8746323238008125,200,0.2890688845057786,9.956781045663863e-08
50,76,0.8025668040382393,0.06038951672294828,0.887241451186982,500,0.7745298500291854,5.047255503711399e-05
51,110,0.9507356519037895,0.09785854296378667,0.8296945479463572,300,0.12230772570836985,8.836044349967332e-06
52,135,0.9268920838828132,0.047054184989639834,0.7029164163593771,100,0.3401251386350248,1.4109058576968313e-05
53,77,0.8109370995531109,0.01348521468992078,0.5236210189773913,100,0.8349279450372361,6.937658826501676e-07
54,128,0.9379555504817529,0.08841907322767074,0.30063119248522807,100,0.4586193807083052,1.3014043201652257e-07
55,67,0.9803978401740248,0.03512124934496843,0.6773335647468649,300,0.7115663065242372,2.369434202139157e-05
