trial,input_size,hidden_size,output_size,sequence_length,batch_size,learning_rate,num_epochs,patience
1,1,8,1,10,64,0.00030887567507992714,200,15
2,1,16,1,10,16,0.0015169980582701848,200,15
3,1,8,1,10,16,0.0002737007261357745,200,15
4,1,128,1,100,16,0.0013258369731779726,200,15
5,1,128,1,50,32,0.0007914401758545618,200,15
6,1,32,1,10,32,0.002490455522404,200,15
7,1,32,1,30,32,0.0002695426688737326,200,15
8,1,32,1,10,16,0.0005752473163560671,200,15
9,1,32,1,30,64,0.004113926673237548,200,15
10,1,64,1,100,16,0.008835508071522766,200,15
11,1,64,1,10,64,0.00455836742661871,200,15
12,1,128,1,30,32,0.0025653325543302462,200,15
13,1,8,1,20,64,0.009342068369367119,200,15
14,1,16,1,10,128,0.00035970560590372366,200,15
15,1,32,1,20,64,0.0005135011262414637,200,15
16,1,32,1,10,32,0.0011702529755428341,200,15
17,1,16,1,20,128,0.0005739986665776138,200,15
18,1,128,1,20,64,0.004849576788635621,200,15
19,1,8,1,20,16,0.004074662116555786,200,15
20,1,64,1,30,16,0.0002642199993596954,200,15
21,1,128,1,30,32,0.002045866686239362,200,15
22,1,64,1,50,32,0.000338657215334655,200,15
23,1,16,1,100,64,0.003119087967403636,200,15
24,1,64,1,100,128,0.0005296547695034239,200,15
25,1,16,1,100,128,0.0001519913331630567,200,15
26,1,8,1,10,32,0.0017984239743712841,200,15
27,1,64,1,100,16,0.0005882130065012497,200,15
28,1,128,1,50,64,0.008752996508425257,200,15
29,1,8,1,10,64,0.0034450653562752144,200,15
30,1,32,1,10,64,0.000740509273017621,200,15
