trial,input_size,hidden_size,output_size,sequence_length,batch_size,learning_rate,num_epochs,patience,mean_val_loss,std_val_loss
1.0,1.0,8.0,1.0,10.0,64.0,0.00030887567507992714,200.0,15.0,5.3872038392910326e-05,1.2510991386321336e-05
2.0,1.0,16.0,1.0,10.0,16.0,0.0015169980582701848,200.0,15.0,2.122946731681681e-06,1.9504482306389636e-07
3.0,1.0,8.0,1.0,10.0,16.0,0.0002737007261357745,200.0,15.0,1.0439986776726719e-05,3.3818839762759986e-06
4.0,1.0,128.0,1.0,100.0,16.0,0.0013258369731779726,200.0,15.0,6.066071166874041e-07,2.0493360376420722e-07
5.0,1.0,128.0,1.0,50.0,32.0,0.0007914401758545618,200.0,15.0,8.792631787173379e-06,9.433021627025179e-06
6.0,1.0,32.0,1.0,10.0,32.0,0.002490455522404,200.0,15.0,3.3245526105195994e-06,2.9613815532518e-06
7.0,1.0,32.0,1.0,30.0,32.0,0.0002695426688737326,200.0,15.0,3.020611394834216e-05,6.0465425301525264e-06
8.0,1.0,32.0,1.0,10.0,16.0,0.0005752473163560671,200.0,15.0,2.7768261685515255e-06,1.6386514512354866e-06
9.0,1.0,32.0,1.0,30.0,64.0,0.004113926673237548,200.0,15.0,1.951793872763119e-05,1.1512768512714e-05
10.0,1.0,64.0,1.0,100.0,16.0,0.008835508071522766,200.0,15.0,8.938730499857339e-06,4.409461053571654e-06
11.0,1.0,64.0,1.0,10.0,64.0,0.00455836742661871,200.0,15.0,4.21741594003322e-06,3.056162194368349e-06
12.0,1.0,128.0,1.0,30.0,32.0,0.0025653325543302462,200.0,15.0,1.4017749463384403e-06,1.0982545401535213e-06
13.0,1.0,8.0,1.0,20.0,64.0,0.009342068369367119,200.0,15.0,9.65298300741324e-06,1.0728171934328714e-05
14.0,1.0,16.0,1.0,10.0,128.0,0.00035970560590372366,200.0,15.0,0.00015620764079358196,4.506352566030145e-05
15.0,1.0,32.0,1.0,20.0,64.0,0.0005135011262414637,200.0,15.0,1.9201754446385168e-05,3.6414156424339614e-06
16.0,1.0,32.0,1.0,10.0,32.0,0.0011702529755428341,200.0,15.0,7.646356465146152e-06,7.714396405327301e-06
17.0,1.0,16.0,1.0,20.0,128.0,0.0005739986665776138,200.0,15.0,2.718511051398309e-05,6.52058701951466e-06
18.0,1.0,128.0,1.0,20.0,64.0,0.004849576788635621,200.0,15.0,8.308727928607595e-06,8.819839050114918e-06
19.0,1.0,8.0,1.0,20.0,16.0,0.004074662116555786,200.0,15.0,2.6979451732245255e-06,9.640778769666503e-07
20.0,1.0,64.0,1.0,30.0,16.0,0.0002642199993596954,200.0,15.0,5.1540510194768775e-05,1.9245516996728193e-05
21.0,1.0,128.0,1.0,30.0,32.0,0.002045866686239362,200.0,15.0,1.0639864646852784e-06,5.407299026205398e-07
22.0,1.0,64.0,1.0,50.0,32.0,0.000338657215334655,200.0,15.0,3.939922103806263e-05,1.2562459903231323e-05
23.0,1.0,16.0,1.0,100.0,64.0,0.003119087967403636,200.0,15.0,9.852555519197872e-06,7.092083798638959e-06
24.0,1.0,64.0,1.0,100.0,128.0,0.0005296547695034239,200.0,15.0,6.469183808803791e-05,2.5158846155340963e-05
25.0,1.0,16.0,1.0,100.0,128.0,0.0001519913331630567,200.0,15.0,0.000585061622041394,0.00023687565005627137
26.0,1.0,8.0,1.0,10.0,32.0,0.0017984239743712841,200.0,15.0,4.917974008695901e-06,2.240142542603426e-06
27.0,1.0,64.0,1.0,100.0,16.0,0.0005882130065012497,200.0,15.0,1.2821647799118532e-06,6.983292027059004e-07
28.0,1.0,128.0,1.0,50.0,64.0,0.008752996508425257,200.0,15.0,4.9497709375145864e-06,3.2623153543618695e-06
29.0,1.0,8.0,1.0,10.0,64.0,0.0034450653562752144,200.0,15.0,4.6374496037060455e-06,2.0575424266986473e-06
30.0,1.0,32.0,1.0,10.0,64.0,0.000740509273017621,200.0,15.0,8.393590735522594e-06,1.0395284418119085e-06
